Date,Time,Open,High,Low,Close,Volume
2014.06.16,00:00,1.69717,1.70104,1.69593,1.69823,59914
2014.06.17,00:00,1.69806,1.69892,1.69377,1.69633,60380
2014.06.18,00:00,1.69612,1.70023,1.69202,1.69934,76475
2014.06.19,00:00,1.69904,1.70633,1.69744,1.70378,98602
2014.06.20,00:00,1.70366,1.70605,1.70031,1.70131,94070
2014.06.23,00:00,1.70124,1.70495,1.70016,1.70268,71555
2014.06.24,00:00,1.70268,1.70318,1.69657,1.69856,63316
2014.06.25,00:00,1.69848,1.70042,1.69521,1.69830,68202
2014.06.26,00:00,1.69829,1.70400,1.69709,1.70258,65290
2014.06.27,00:00,1.70257,1.70514,1.70065,1.70356,60588
2014.06.30,00:00,1.70233,1.71152,1.70084,1.71054,59951
2014.07.01,00:00,1.71050,1.71658,1.70958,1.71504,55537
2014.07.02,00:00,1.71485,1.71766,1.71400,1.71654,52511
2014.07.03,00:00,1.71647,1.71664,1.70971,1.71549,52659
2014.07.04,00:00,1.71544,1.71793,1.71310,1.71584,38888
2014.07.07,00:00,1.71658,1.71668,1.71079,1.71275,36464
2014.07.08,00:00,1.71263,1.71472,1.70852,1.71299,41527
2014.07.09,00:00,1.71305,1.71612,1.70937,1.71571,47042
2014.07.10,00:00,1.71561,1.71675,1.71046,1.71310,52944
2014.07.11,00:00,1.71307,1.71507,1.70904,1.71041,56577
2014.07.14,00:00,1.71212,1.71437,1.70697,1.70835,63423
2014.07.15,00:00,1.70835,1.71913,1.70591,1.71415,82513
2014.07.16,00:00,1.71420,1.71507,1.71127,1.71362,67701
2014.07.17,00:00,1.71362,1.71436,1.70852,1.70999,64361
2014.07.18,00:00,1.70999,1.71175,1.70362,1.70861,73905
2014.07.21,00:00,1.70850,1.70992,1.70554,1.70747,57573
2014.07.22,00:00,1.70748,1.70830,1.70414,1.70638,69569
2014.07.23,00:00,1.70638,1.70951,1.70238,1.70427,76733
2014.07.24,00:00,1.70427,1.70532,1.69662,1.69859,73467
2014.07.25,00:00,1.69856,1.69979,1.69609,1.69772,65149
2014.07.28,00:00,1.69780,1.70008,1.69723,1.69828,49669
2014.07.29,00:00,1.69827,1.69947,1.69333,1.69423,66950
2014.07.30,00:00,1.69426,1.69549,1.68892,1.69128,81844
2014.07.31,00:00,1.69128,1.69265,1.68566,1.68846,68744
2014.08.01,00:00,1.68846,1.68928,1.68117,1.68219,94047
2014.08.04,00:00,1.68260,1.68643,1.68137,1.68619,64224
2014.08.05,00:00,1.68620,1.68885,1.68450,1.68850,71560
2014.08.06,00:00,1.68853,1.68877,1.68214,1.68527,70904
2014.08.07,00:00,1.68526,1.68636,1.68231,1.68319,80030
2014.08.08,00:00,1.68314,1.68336,1.67664,1.67743,97133
2014.08.11,00:00,1.67781,1.67955,1.67701,1.67861,55353
2014.08.12,00:00,1.67861,1.68158,1.67566,1.68110,70809
2014.08.13,00:00,1.68110,1.68435,1.66852,1.66873,91714
2014.08.14,00:00,1.66888,1.66968,1.66573,1.66852,72509
2014.08.15,00:00,1.66852,1.67016,1.66765,1.66939,74133
2014.08.18,00:00,1.67307,1.67375,1.67117,1.67272,57249
2014.08.19,00:00,1.67268,1.67288,1.66112,1.66155,73275
2014.08.20,00:00,1.66165,1.66789,1.65898,1.65946,85799
2014.08.21,00:00,1.65943,1.66012,1.65639,1.65792,72771
2014.08.22,00:00,1.65792,1.65973,1.65612,1.65683,78757
2014.08.25,00:00,1.65515,1.65982,1.65355,1.65784,66708
2014.08.26,00:00,1.65786,1.65952,1.65381,1.65390,80947
2014.08.27,00:00,1.65390,1.66052,1.65365,1.65756,90179
2014.08.28,00:00,1.65755,1.66136,1.65672,1.65857,95352
2014.08.29,00:00,1.65858,1.66135,1.65626,1.65977,94939
2014.09.01,00:00,1.65917,1.66439,1.65858,1.66073,73162
2014.09.02,00:00,1.66037,1.66150,1.64677,1.64684,99507
2014.09.03,00:00,1.64685,1.64971,1.64397,1.64603,95953
2014.09.04,00:00,1.64602,1.64655,1.63284,1.63298,108060
2014.09.05,00:00,1.63296,1.63403,1.62754,1.63231,109028
2014.09.08,00:00,1.61653,1.62328,1.60982,1.61038,126357
2014.09.09,00:00,1.61036,1.61568,1.60592,1.61053,113023
2014.09.10,00:00,1.61053,1.62303,1.60519,1.62094,114390
2014.09.11,00:00,1.62095,1.62700,1.61856,1.62534,108339
2014.09.12,00:00,1.62533,1.62769,1.62065,1.62678,97568
2014.09.15,00:00,1.62772,1.62779,1.62207,1.62321,85268
2014.09.16,00:00,1.62323,1.63110,1.61619,1.62769,103343
2014.09.17,00:00,1.62762,1.63583,1.62485,1.62715,117080
2014.09.18,00:00,1.62721,1.64088,1.62462,1.63885,131153
2014.09.19,00:00,1.63885,1.65242,1.62839,1.62868,177317
